sample_id,sample_name,label,prob_sn,prob_pg,sn_pg_agreement,sn_pg_diff,max_prob,min_prob,domain_length,n_dots_domain,n_subdomains,domain_entropy,has_ip_address,has_https,domain_digit_ratio,html_length,n_forms,n_password_inputs,n_external_links_ratio
10241,10241_nacen.in,0,0.301842,0.00582,1,0.29602173158637163,0.30184174802523267,0.005820016438861054,8,1,0,2.4056390622295662,0,0,0.0,13554,1,1,0.43333333333333335
10242,10242_nacen.in,0,0.722912,0.016186,0,0.7067254652360582,0.7229115830525724,0.016186117816514207,8,1,0,2.4056390622295662,0,0,0.0,11001,1,1,0.45454545454545453
10243,10243_nacen.in,0,0.301842,0.00582,1,0.29602167198172685,0.3018416884205879,0.005820016438861054,8,1,0,2.4056390622295662,0,0,0.0,13554,1,1,0.43333333333333335
10244,10244_nacen.in,0,0.721965,0.012212,0,0.7097526660871171,0.7219648991738694,0.012212233086752374,8,1,0,2.4056390622295662,0,0,0.0,7506,1,1,0.4166666666666667
10245,10245_nacen.in,0,0.724913,0.014405,0,0.7105083715515965,0.7249132180194393,0.014404846467842748,8,1,0,2.4056390622295662,0,0,0.0,8296,1,1,0.45454545454545453
10246,10246_nacen.in,0,0.670049,0.015605,0,0.6544436133989087,0.6700487147966776,0.015605101397768929,8,1,0,2.4056390622295662,0,0,0.0,11514,1,1,0.5
10250,10250_www.nirs.edu.in,0,0.945325,0.004975,0,0.9403497932920771,0.9453252401135397,0.004975446821462543,15,3,2,3.006238928653389,0,0,0.0,40812,1,0,1.4509803921568627
10251,10251_www.nirs.edu.in,0,0.945325,0.004975,0,0.9403498415060992,0.9453252883275618,0.004975446821462543,15,3,2,3.006238928653389,0,0,0.0,40818,1,0,1.4509803921568627
10252,10252_www.nirs.edu.in,0,0.941422,0.006413,0,0.9350093690598046,0.9414218704702974,0.00641250141049279,15,3,2,3.006238928653389,0,0,0.0,41723,1,0,1.3846153846153846
10253,10253_www.nirs.edu.in,0,0.945325,0.004975,0,0.9403498622388539,0.9453253090603164,0.004975446821462543,15,3,2,3.006238928653389,0,0,0.0,40812,1,0,1.4509803921568627
10254,10254_www.nirs.edu.in,0,0.941804,0.005456,0,0.9363480177599685,0.9418038290621635,0.005455811302195027,15,3,2,3.006238928653389,0,0,0.0,39060,1,0,1.4038461538461537
10428,10428_bio-eco-service.kz,0,0.723977,0.020285,0,0.7036919057297992,0.7239772194709198,0.020285313741120515,18,1,0,3.4613201402110083,0,0,0.0,24841,1,1,0.16666666666666666
10429,10429_bio-eco-service.kz,0,0.738327,0.02766,0,0.7106661846131723,0.7383265320537893,0.027660347440617017,18,1,0,3.4613201402110083,0,0,0.0,19567,1,1,0.2777777777777778
10430,10430_bio-eco-service.kz,0,0.738718,0.058605,0,0.6801134620450753,0.7387179975496988,0.058604535504623495,18,1,0,3.4613201402110083,0,0,0.0,20312,1,1,0.3684210526315789
10431,10431_bio-eco-service.kz,0,0.767217,0.031208,0,0.736008702409322,0.7672167172651839,0.03120801485586184,18,1,0,3.4613201402110083,0,0,0.0,18255,1,1,0.25
